n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
447,446,128,111,0.016,1.110261,0.02784085
448,447,128,111,0.016,1.110166,0.02042642
449,448,128,111,0.078,1.110377,0.02100213
450,449,128,111,0.017,1.109862,0.02318885
451,450,128,111,0.076,1.109960,0.01976921
452,451,128,111,0.018,1.109912,0.01857544
453,452,128,111,0.077,1.109930,0.02784511
454,453,128,111,0.017,1.109746,0.02034255
455,454,128,111,0.069,1.109810,0.01755283
456,455,128,111,0.017,1.109544,0.02274992
457,456,128,111,0.079,1.109330,0.01540017
458,457,128,111,0.017,1.109392,0.02066680
459,458,128,111,0.080,1.109430,0.01365296
460,459,128,111,0.016,1.109223,0.01835203
461,460,128,111,0.016,1.109457,0.01529180
462,461,128,111,0.078,1.109395,0.01795105
463,462,128,111,0.016,1.109302,0.01422701
464,463,128,111,0.072,1.109474,0.01468647
465,464,128,111,0.016,1.109410,0.01940951
466,465,128,111,0.074,1.109756,0.01687263
467,466,128,111,0.016,1.110037,0.01418860
468,467,128,111,0.016,1.110100,0.01500030
469,468,128,111,0.079,1.110166,0.02097791
470,469,128,111,0.016,1.110407,0.01922730
471,470,128,111,0.070,1.110086,0.01528139
472,471,128,111,0.018,1.110132,0.01460661
473,472,128,111,0.077,1.110231,0.01522111
474,473,128,111,0.018,1.110026,0.01574479
475,474,128,111,0.074,1.109755,0.01509346
476,475,128,111,0.018,1.109832,0.01706182
477,476,128,111,0.079,1.109802,0.02607681
478,477,128,111,0.024,1.109626,0.01515721
479,478,128,111,0.078,1.109636,0.01428166
480,479,128,111,0.019,1.109732,0.01632908
481,480,128,111,0.069,1.109718,0.01560094
482,481,128,111,0.020,1.109532,0.01820885
483,482,128,111,0.076,1.109561,0.02005887
484,483,128,111,0.019,1.109692,0.01533024
485,484,128,111,0.077,1.109657,0.02001411
486,485,128,111,0.017,1.109894,0.01734991
487,486,128,111,0.017,1.109824,0.01351662
488,487,128,111,0.077,1.109642,0.01591364
489,488,128,111,0.017,1.109442,0.01904313
490,489,128,111,0.075,1.109275,0.01393834
491,490,128,111,0.017,1.109344,0.01753944
492,491,128,111,0.070,1.109320,0.01687281
493,492,128,111,0.017,1.109393,0.01597194
494,493,128,111,0.017,1.109359,0.02075860
495,494,128,111,0.076,1.109335,0.01315143
496,495,128,111,0.017,1.109289,0.02064223
497,496,128,111,0.076,1.109224,0.01449083
498,497,128,111,0.017,1.109308,0.02293847
499,498,128,111,0.021,1.109262,0.01532303
500,499,128,111,0.061,1.109163,0.01437656
501,500,128,111,0.017,1.109156,0.02059524
502,501,128,111,0.077,1.109132,0.02115725
503,502,128,111,0.017,1.109179,0.02207700
504,503,128,111,0.068,1.109242,0.01400505
505,504,128,111,0.017,1.109226,0.01548418
506,505,128,111,0.017,1.109120,0.01461901
507,506,128,111,0.075,1.109284,0.01442924
508,507,128,111,0.016,1.109150,0.01600999
509,508,128,111,0.076,1.109246,0.01408270
510,509,128,111,0.016,1.109078,0.01441331
511,510,128,111,0.071,1.109061,0.01671889
512,511,128,111,0.016,1.109173,0.01657058
513,512,128,111,0.016,1.109094,0.01589275
514,513,128,111,0.077,1.109396,0.01742875
515,514,128,111,0.016,1.109474,0.01426493
516,515,128,111,0.076,1.109082,0.01649443
517,516,128,111,0.017,1.109311,0.01724006
518,517,128,111,0.071,1.109086,0.01516037
519,518,128,111,0.017,1.109171,0.01543765
520,519,128,111,0.078,1.109055,0.01943091
521,520,128,111,0.020,1.109291,0.02149479
522,521,128,111,0.076,1.109209,0.02199826
523,522,128,111,0.019,1.109220,0.02784007
524,523,128,111,0.078,1.109532,0.02109780
525,524,128,111,0.018,1.109647,0.01751213
526,525,128,111,0.079,1.109810,0.01432713
527,526,128,111,0.018,1.110022,0.01715898
528,527,128,111,0.078,1.110093,0.01488168
529,528,128,111,0.018,1.109969,0.01855099
530,529,128,111,0.018,1.110057,0.01934130
531,530,128,111,0.075,1.110055,0.01865660
532,531,128,111,0.079,1.110031,0.01818234
533,532,128,111,0.017,1.109930,0.01976737
534,533,128,111,0.017,1.110149,0.01563026
535,534,128,111,0.018,1.110207,0.02363248
536,535,128,111,0.017,1.110005,0.01099120
537,536,128,111,0.078,1.110156,0.01605814
538,537,128,111,0.082,1.110192,0.01351413
539,538,128,111,0.017,1.110270,0.01441172
540,539,128,111,0.079,1.110305,0.01633717
541,540,128,111,0.017,1.109949,0.01846529
542,541,128,111,0.017,1.109893,0.01330875
543,542,128,111,0.078,1.109864,0.02222726
544,543,128,111,0.080,1.110002,0.03471984
545,544,128,111,0.019,1.109913,0.01568002
546,545,128,111,0.077,1.109560,0.01820871
547,546,128,111,0.019,1.109709,0.01580904
548,547,128,111,0.017,1.109790,0.01159785
549,548,128,111,0.074,1.109787,0.02174208
550,549,128,111,0.017,1.109836,0.01105511
551,550,128,111,0.076,1.109738,0.01754247
552,551,128,111,0.021,1.109819,0.02113868
553,552,128,111,0.079,1.109754,0.01699860
554,553,128,111,0.019,1.109699,0.01792579
555,554,128,111,0.073,1.109732,0.01647632
556,555,128,111,0.018,1.109573,0.01979784
557,556,128,111,0.067,1.109621,0.01424748
558,557,128,111,0.018,1.109478,0.01756481
559,558,128,111,0.077,1.109528,0.01584736
560,559,128,111,0.019,1.109478,0.01546726
561,560,128,111,0.077,1.109332,0.01243875
562,561,128,111,0.019,1.109504,0.01375940
563,562,128,111,0.018,1.109452,0.03437241
564,563,128,111,0.075,1.109624,0.02180023
565,564,128,111,0.081,1.109827,0.01339910
566,565,128,111,0.019,1.110019,0.01651864
567,566,128,111,0.078,1.109956,0.01332751
568,567,128,111,0.019,1.110031,0.02139750
569,568,128,111,0.077,1.109828,0.01372659
570,569,128,111,0.019,1.109968,0.02279502
571,570,128,111,0.018,1.110057,0.01765888
572,571,128,111,0.075,1.110189,0.01318848
573,572,128,111,0.018,1.109938,0.01319746
574,573,128,111,0.075,1.109980,0.01922573
575,574,128,111,0.018,1.109923,0.01352742
576,575,128,111,0.076,1.109840,0.01371511
577,576,128,111,0.019,1.109645,0.01867444
578,577,128,111,0.069,1.109682,0.01355615
579,578,128,111,0.018,1.109851,0.01294178
580,579,128,111,0.077,1.109995,0.01247404
581,580,128,111,0.018,1.109867,0.01160223
582,581,128,111,0.078,1.109920,0.01851249
583,582,128,111,0.018,1.109901,0.02565446
584,583,128,111,0.078,1.109489,0.01769293
585,584,128,111,0.019,1.109484,0.01823402
586,585,128,111,0.077,1.109346,0.01795450
587,586,128,111,0.019,1.109500,0.01557105
588,587,128,111,0.078,1.109440,0.01897239
589,588,128,111,0.018,1.109356,0.00883825
590,589,128,111,0.078,1.109290,0.01452096
591,590,128,111,0.018,1.109223,0.01132267
592,591,128,111,0.078,1.108897,0.01381290
593,592,128,111,0.018,1.108777,0.01712761
594,593,128,111,0.018,1.108789,0.01311582
595,594,128,111,0.076,1.108628,0.01764976
596,595,128,111,0.081,1.108513,0.01215308
597,596,128,111,0.018,1.108657,0.01925663
598,597,128,111,0.078,1.108563,0.01588806
599,598,128,111,0.018,1.108423,0.01042468
600,599,128,111,0.079,1.108335,0.01548586
